Name,Speed,Module,First Word Latency,CAS Latency,Price Per GB,Color,Rating,Review Count,Price
Crucial Pro Overclocking 32 GB,DDR5-6000,2 x 16GB,12 ns,36,$8.562,Black,4.5,45,$273.99
Corsair Vengeance RGB 32 GB,DDR5-6000,2 x 16GB,12 ns,36,$12.750,Black,4.5,89,$407.99
Corsair Vengeance LPX 32 GB,DDR4-3200,2 x 16GB,10 ns,16,$5.343,Black / Yellow,4.5,72,$170.99
G.Skill Flare X5 32 GB,DDR5-6000,2 x 16GB,12 ns,36,$11.406,Black,4.5,110,$365.00
Corsair Vengeance LPX 16 GB,DDR4-3200,2 x 8GB,10 ns,16,$7.062,Black / Yellow,4.5,511,$112.99
Crucial Pro 32 GB,DDR5-5600,2 x 16GB,16.429 ns,46,$8.156,Black,5,6,$260.99
Corsair Vengeance RGB 64 GB,DDR5-6000,2 x 32GB,10 ns,30,$13.765,Black,4.5,23,$880.99
G.Skill Trident Z5 Neo RGB 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$15.468,Black,4.5,127,$494.99
Silicon Power GAMING 16 GB,DDR4-3200,2 x 8GB,10 ns,16,$7.299,Black / Gray,4.5,67,$116.79
Corsair Vengeance RGB 32 GB,DDR5-6000,2 x 16GB,12 ns,36,$12.750,White / Silver,4.5,19,$407.99
Kingston FURY Beast 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$14.678,Black,5,29,$469.69
Corsair Vengeance 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$13.375,Black / Gray,4.5,78,$427.99
Crucial Pro 32 GB,DDR5-6400,2 x 16GB,11.875 ns,38,$9.156,Black,0,0,$292.99
Corsair Vengeance RGB Pro 16 GB,DDR4-3200,2 x 8GB,10 ns,16,$7.812,Black,4.5,385,$124.99
Corsair Vengeance RGB Pro 32 GB,DDR4-3600,2 x 16GB,10 ns,18,,Black,4.5,106,0
Kingston FURY Beast RGB 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$11.562,Black,4.5,13,$369.99
Kingston FURY Beast 16 GB,DDR5-5200,2 x 8GB,15.385 ns,40,,Black,4.5,8,0
Patriot Viper Venom 32 GB,DDR5-6000,2 x 16GB,10 ns,30,$10.937,Black / White,4.5,24,$349.99
G.Skill Trident Z5 Neo RGB 64 GB,DDR5-6000,2 x 32GB,10 ns,30,$13.594,Black / Silver,4.5,51,$869.99
Corsair Vengeance LPX 16 GB,DDR4-2666,2 x 8GB,12.003 ns,16,$6.062,Black,4.5,4,$96.99
G.Skill Ripjaws V 16 GB,DDR4-3200,2 x 8GB,10 ns,16,$7.812,Black,4.5,237,$124.99
Patriot Viper Elite 5 16 GB,DDR5-6000,1 x 16GB,10 ns,30,,White,5,1,$169.99
TEAMGROUP T-Force Delta RGB 16 GB,DDR5-6000,2 x 8GB,12.667 ns,38,,White,5,1,$219.99
